9Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.53      0.02     0.02  5155689     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  9.53      0.04     0.02  4235441     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  9.53      0.06     0.02    86282     0.00     0.00  permToIndex(std::vector<int, std::allocator<int> > const&)
  4.76      0.07     0.01 10853258     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  4.76      0.08     0.01  4235438     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  4.76      0.09     0.01  2724838     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  4.76      0.10     0.01  2145383     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  4.76      0.11     0.01   906109     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  4.76      0.12     0.01   718837     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  4.76      0.13     0.01   653363     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  4.76      0.14     0.01   283540     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  4.76      0.15     0.01   283539     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  4.76      0.16     0.01   172568     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  4.76      0.17     0.01    98976     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  4.76      0.18     0.01    98625     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  4.76      0.19     0.01    86285     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<int, int> > >::construct<std::pair<int, int>, int&, int&>(std::allocator<std::pair<int, int> >&, std::pair<int, int>*, int&, int&)
  4.76      0.20     0.01                             main
  2.38      0.21     0.01  3320747     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  2.38      0.21     0.01  1812220     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.21     0.00 20483509     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.21     0.00 16812072     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.21     0.00 13282985     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.21     0.00 10080115     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.21     0.00  7242659     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.21     0.00  6641491     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.21     0.00  6085302     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.21     0.00  5845276     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.21     0.00  5844677     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.21     0.00  5203241     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.21     0.00  5129302     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.21     0.00  5030661     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.21     0.00  5030653     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.21     0.00  5030653     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.21     0.00  5030652     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.21     0.00  5030037     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.21     0.00  4515735     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.21     0.00  4515735     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.21     0.00  4515735     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      0.21     0.00  4515735     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.21     0.00  4515735     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.21     0.00  4515735     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.21     0.00  4235437     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.21     0.00  3673955     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  0.00      0.21     0.00  3320747     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.21     0.00  3320746     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.21     0.00  3320746     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a2<true, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
