Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.78      0.14     0.14    61311     0.00     0.00  permToIndex(std::vector<int, std::allocator<int> > const&)
  8.07      0.19     0.05  3599550     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  6.45      0.23     0.04   736029     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  4.84      0.26     0.03    70340     0.00     0.00  void std::iota<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int)
  4.03      0.28     0.03    66084     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  4.03      0.31     0.03     7964     0.00     0.02  indexToPerm(int, int)
  3.23      0.33     0.02   198734     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  3.23      0.35     0.02        1    20.01   566.23  _GLOBAL__sub_I__Z11indexToPermii
  2.42      0.36     0.02   524727     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  2.42      0.38     0.02    77882     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  1.61      0.39     0.01   705617     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.61      0.40     0.01   662832     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  1.61      0.41     0.01   593373     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  1.61      0.42     0.01   552437     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  1.61      0.43     0.01   367538     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  1.61      0.44     0.01   282221     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  1.61      0.45     0.01   258334     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  1.61      0.46     0.01   231587     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  1.61      0.47     0.01   228940     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, int> >::construct<std::pair<int, int>, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>&&)
  1.61      0.48     0.01   222663     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  1.61      0.49     0.01   196934     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  1.61      0.50     0.01   189732     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  1.61      0.51     0.01   179236     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  1.61      0.52     0.01   177666     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  1.61      0.53     0.01   131526     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  1.61      0.54     0.01   119249     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  1.61      0.55     0.01   113463     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  1.61      0.56     0.01    76171     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  1.61      0.57     0.01    66908     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long)
